Location,Survey,Effort,Year,Surveyor
Almonte,1,11,2021,CA
Almonte,2,11,2021,CA
Almonte,3,11,2021,CA
Almonte,4,11,2021,CA
Almonte,5,11,2021,CA
Almonte,6,11,2021,CA
Almonte,7,11,2021,CA
Almonte,8,11,2021,CA
Almonte,9,11,2021,CA
Almonte,10,11,2021,CA
Almonte,11,11,2021,CA
Alto,1,7,2021,CA
Alto,2,7,2021,CA
Alto,3,7,2021,CA
Alto,4,7,2021,CA
Alto,5,7,2021,CA
Alto,6,7,2021,CA
Alto,7,7,2021,CA
Alviso Triangle,1,16,2021,CA
Alviso Triangle,2,16,2021,CA
Alviso Triangle,3,16,2021,CA
Alviso Triangle,4,16,2021,CA
Alviso Triangle,5,16,2021,CA
Alviso Triangle,6,16,2021,CA
Alviso Triangle,7,16,2021,CA
Alviso Triangle,8,16,2021,CA
Alviso Triangle,9,16,2021,CA
Alviso Triangle,10,16,2021,CA
Alviso Triangle,11,16,2021,CA
Alviso Triangle,12,16,2021,CA
Alviso Triangle,13,16,2021,CA
Alviso Triangle,14,16,2021,CA
Alviso Triangle,15,16,2021,CA
Alviso Triangle,16,16,2021,CA
American Canyon,1,15,2021,CA
American Canyon,2,15,2021,CA
American Canyon,3,15,2021,CA
American Canyon,4,15,2021,CA
American Canyon,5,15,2021,CA
American Canyon,6,15,2021,CA
American Canyon,7,15,2021,CA
American Canyon,8,15,2021,CA
American Canyon,9,15,2021,CA
American Canyon,10,15,2021,CA
American Canyon,11,15,2021,CA
American Canyon,12,15,2021,CA
American Canyon,13,15,2021,CA
American Canyon,14,15,2021,CA
American Canyon,15,15,2021,CA
Arrowhead,1,7,2021,CA
Arrowhead,2,7,2021,CA
Arrowhead,3,7,2021,CA
Arrowhead,4,7,2021,CA
Arrowhead,5,7,2021,CA
Arrowhead,6,7,2021,CA
Arrowhead,7,7,2021,CA
Bay Point,1,18,2021,CA
Bay Point,2,18,2021,CA
Bay Point,3,18,2021,CA
Bay Point,4,18,2021,CA
Bay Point,5,18,2021,CA
Bay Point,6,18,2021,CA
Bay Point,7,18,2021,CA
Bay Point,8,18,2021,CA
Bay Point,9,18,2021,CA
Bay Point,10,18,2021,CA
Bay Point,11,18,2021,CA
Bay Point,12,18,2021,CA
Bay Point,13,18,2021,CA
Bay Point,14,18,2021,CA
Bay Point,15,18,2021,CA
Bay Point,16,18,2021,CA
Bay Point,17,18,2021,CA
Bay Point,18,18,2021,CA
Bayfront Park,1,10,2021,CA
Bayfront Park,2,10,2021,CA
Bayfront Park,3,10,2021,CA
Bayfront Park,4,10,2021,CA
Bayfront Park,5,10,2021,CA
Bayfront Park,6,10,2021,CA
Bayfront Park,7,10,2021,CA
Bayfront Park,8,10,2021,CA
Bayfront Park,9,10,2021,CA
Bayfront Park,10,10,2021,CA
Belmont Slough,1,20,2022,JH
Belmont Slough,2,20,2022,JH
Belmont Slough,3,20,2022,JH
Belmont Slough,4,20,2022,JH
Belmont Slough,5,20,2022,JH
Belmont Slough,6,20,2022,JH
Belmont Slough,7,20,2022,JH
Belmont Slough,8,20,2022,JH
Belmont Slough,9,20,2022,JH
Belmont Slough,10,20,2022,JH
Belmont Slough,11,20,2022,JH
Belmont Slough,12,20,2022,JH
Belmont Slough,13,20,2022,JH
Belmont Slough,14,20,2022,JH
Belmont Slough,15,20,2022,JH
Belmont Slough,16,20,2022,JH
Belmont Slough,17,20,2022,JH
Belmont Slough,18,20,2022,JH
Belmont Slough,19,20,2022,JH
Belmont Slough,20,20,2022,JH
Benicia Industrial,1,13,2021,CA
Benicia Industrial,2,13,2021,CA
Benicia Industrial,3,13,2021,CA
Benicia Industrial,4,13,2021,CA
Benicia Industrial,5,13,2021,CA
Benicia Industrial,6,13,2021,CA
Benicia Industrial,7,13,2021,CA
Benicia Industrial,8,13,2021,CA
Benicia Industrial,9,13,2021,CA
Benicia Industrial,10,13,2021,CA
Benicia Industrial,11,13,2021,CA
Benicia Industrial,12,13,2021,CA
Benicia Industrial,13,13,2021,CA
Bothin Marsh,1,15,2022,JH
Bothin Marsh,2,15,2022,JH
Bothin Marsh,3,15,2022,JH
Bothin Marsh,4,15,2022,JH
Bothin Marsh,5,15,2022,JH
Bothin Marsh,6,15,2022,JH
Bothin Marsh,7,15,2022,JH
Bothin Marsh,8,15,2022,JH
Bothin Marsh,9,15,2022,JH
Bothin Marsh,10,15,2022,JH
Bothin Marsh,11,15,2022,JH
Bothin Marsh,12,15,2022,JH
Bothin Marsh,13,15,2022,JH
Bothin Marsh,14,15,2022,JH
Bothin Marsh,15,15,2022,JH
Bothin South,1,10,2021,CA
Bothin South,2,10,2021,CA
Bothin South,3,10,2021,CA
Bothin South,4,10,2021,CA
Bothin South,5,10,2021,CA
Bothin South,6,10,2021,CA
Bothin South,7,10,2021,CA
Bothin South,8,10,2021,CA
Bothin South,9,10,2021,CA
Bothin South,10,10,2021,CA
Browns Island,1,10,2022,JH
Browns Island,2,10,2022,JH
Browns Island,3,10,2022,JH
Browns Island,4,10,2022,JH
Browns Island,5,10,2022,JH
Browns Island,6,10,2022,JH
Browns Island,7,10,2022,JH
Browns Island,8,10,2022,JH
Browns Island,9,10,2022,JH
Browns Island,10,10,2022,JH
Burdell Unit,1,20,2022,JH
Burdell Unit,2,20,2022,JH
Burdell Unit,3,20,2022,JH
Burdell Unit,4,20,2022,JH
Burdell Unit,5,20,2022,JH
Burdell Unit,6,20,2022,JH
Burdell Unit,7,20,2022,JH
Burdell Unit,8,20,2022,JH
Burdell Unit,9,20,2022,JH
Burdell Unit,10,20,2022,JH
Burdell Unit,11,20,2022,JH
Burdell Unit,12,20,2022,JH
Burdell Unit,13,20,2022,JH
Burdell Unit,14,20,2022,JH
Burdell Unit,15,20,2022,JH
Burdell Unit,16,20,2022,JH
Burdell Unit,17,20,2022,JH
Burdell Unit,18,20,2022,JH
Burdell Unit,19,20,2022,JH
Burdell Unit,20,20,2022,JH
Byxbee Harbor,1,9,2021,CA
Byxbee Harbor,2,9,2021,CA
Byxbee Harbor,3,9,2021,CA
Byxbee Harbor,4,9,2021,CA
Byxbee Harbor,5,9,2021,CA
Byxbee Harbor,6,9,2021,CA
Byxbee Harbor,7,9,2021,CA
Byxbee Harbor,8,9,2021,CA
Byxbee Harbor,9,9,2021,CA
China Camp,1,16,2022,JH
China Camp,2,16,2022,JH
China Camp,3,16,2022,JH
China Camp,4,16,2022,JH
China Camp,5,16,2022,JH
China Camp,6,16,2022,JH
China Camp,7,16,2022,JH
China Camp,8,16,2022,JH
China Camp,9,16,2022,JH
China Camp,10,16,2022,JH
China Camp,11,16,2022,JH
China Camp,12,16,2022,JH
China Camp,13,16,2022,JH
China Camp,14,16,2022,JH
China Camp,15,16,2022,JH
China Camp,16,16,2022,JH
Corte Madera Triangle,1,15,2021,CA
Corte Madera Triangle,2,15,2021,CA
Corte Madera Triangle,3,15,2021,CA
Corte Madera Triangle,4,15,2021,CA
Corte Madera Triangle,5,15,2021,CA
Corte Madera Triangle,6,15,2021,CA
Corte Madera Triangle,7,15,2021,CA
Corte Madera Triangle,8,15,2021,CA
Corte Madera Triangle,9,15,2021,CA
Corte Madera Triangle,10,15,2021,CA
Corte Madera Triangle,11,15,2021,CA
Corte Madera Triangle,12,15,2021,CA
Corte Madera Triangle,13,15,2021,CA
Corte Madera Triangle,14,15,2021,CA
Corte Madera Triangle,15,15,2021,CA
Creekside,1,10,2021,CA
Creekside,2,10,2021,CA
Creekside,3,10,2021,CA
Creekside,4,10,2021,CA
Creekside,5,10,2021,CA
Creekside,6,10,2021,CA
Creekside,7,10,2021,CA
Creekside,8,10,2021,CA
Creekside,9,10,2021,CA
Creekside,10,10,2021,CA
Cullinan Ranch,1,20,2022,JH
Cullinan Ranch,2,20,2022,JH
Cullinan Ranch,3,20,2022,JH
Cullinan Ranch,4,20,2022,JH
Cullinan Ranch,5,20,2022,JH
Cullinan Ranch,6,20,2022,JH
Cullinan Ranch,7,20,2022,JH
Cullinan Ranch,8,20,2022,JH
Cullinan Ranch,9,20,2022,JH
Cullinan Ranch,10,20,2022,JH
Cullinan Ranch,11,20,2022,JH
Cullinan Ranch,12,20,2022,JH
Cullinan Ranch,13,20,2022,JH
Cullinan Ranch,14,20,2022,JH
Cullinan Ranch,15,20,2022,JH
Cullinan Ranch,16,20,2022,JH
Cullinan Ranch,17,20,2022,JH
Cullinan Ranch,18,20,2022,JH
Cullinan Ranch,19,20,2022,JH
Cullinan Ranch,20,20,2022,JH
Dixon Landing,1,16,2022,JH
Dixon Landing,2,16,2022,JH
Dixon Landing,3,16,2022,JH
Dixon Landing,4,16,2022,JH
Dixon Landing,5,16,2022,JH
Dixon Landing,6,16,2022,JH
Dixon Landing,7,16,2022,JH
Dixon Landing,8,16,2022,JH
Dixon Landing,9,16,2022,JH
Dixon Landing,10,16,2022,JH
Dixon Landing,11,16,2022,JH
Dixon Landing,12,16,2022,JH
Dixon Landing,13,16,2022,JH
Dixon Landing,14,16,2022,JH
Dixon Landing,15,16,2022,JH
Dixon Landing,16,16,2022,JH
Dotson North,1,6,2021,CA
Dotson North,2,6,2021,CA
Dotson North,3,6,2021,CA
Dotson North,4,6,2021,CA
Dotson North,5,6,2021,CA
Dotson North,6,6,2021,CA
Dotson South,1,8,2021,CA
Dotson South,2,8,2021,CA
Dotson South,3,8,2021,CA
Dotson South,4,8,2021,CA
Dotson South,5,8,2021,CA
Dotson South,6,8,2021,CA
Dotson South,7,8,2021,CA
Dotson South,8,8,2021,CA
Enterprise,1,10,2021,CA
Enterprise,2,10,2021,CA
Enterprise,3,10,2021,CA
Enterprise,4,10,2021,CA
Enterprise,5,10,2021,CA
Enterprise,6,10,2021,CA
Enterprise,7,10,2021,CA
Enterprise,8,10,2021,CA
Enterprise,9,10,2021,CA
Enterprise,10,10,2021,CA
Flood Control Basin,1,19,2021,CA
Flood Control Basin,2,19,2021,CA
Flood Control Basin,3,19,2021,CA
Flood Control Basin,4,19,2021,CA
Flood Control Basin,5,19,2021,CA
Flood Control Basin,6,19,2021,CA
Flood Control Basin,7,19,2021,CA
Flood Control Basin,8,19,2021,CA
Flood Control Basin,9,19,2021,CA
Flood Control Basin,10,19,2021,CA
Flood Control Basin,11,19,2021,CA
Flood Control Basin,12,19,2021,CA
Flood Control Basin,13,19,2021,CA
Flood Control Basin,14,19,2021,CA
Flood Control Basin,15,19,2021,CA
Flood Control Basin,16,19,2021,CA
Flood Control Basin,17,19,2021,CA
Flood Control Basin,18,19,2021,CA
Flood Control Basin,19,19,2021,CA
Freeman Island,1,20,2022,JH
Freeman Island,2,20,2022,JH
Freeman Island,3,20,2022,JH
Freeman Island,4,20,2022,JH
Freeman Island,5,20,2022,JH
Freeman Island,6,20,2022,JH
Freeman Island,7,20,2022,JH
Freeman Island,8,20,2022,JH
Freeman Island,9,20,2022,JH
Freeman Island,10,20,2022,JH
Freeman Island,11,20,2022,JH
Freeman Island,12,20,2022,JH
Freeman Island,13,20,2022,JH
Freeman Island,14,20,2022,JH
Freeman Island,15,20,2022,JH
Freeman Island,16,20,2022,JH
Freeman Island,17,20,2022,JH
Freeman Island,18,20,2022,JH
Freeman Island,19,20,2022,JH
Freeman Island,20,20,2022,JH
Giant Marsh,1,17,2021,CA
Giant Marsh,2,17,2021,CA
Giant Marsh,3,17,2021,CA
Giant Marsh,4,17,2021,CA
Giant Marsh,5,17,2021,CA
Giant Marsh,6,17,2021,CA
Giant Marsh,7,17,2021,CA
Giant Marsh,8,17,2021,CA
Giant Marsh,9,17,2021,CA
Giant Marsh,10,17,2021,CA
Giant Marsh,11,17,2021,CA
Giant Marsh,12,17,2021,CA
Giant Marsh,13,17,2021,CA
Giant Marsh,14,17,2021,CA
Giant Marsh,15,17,2021,CA
Giant Marsh,16,17,2021,CA
Giant Marsh,17,17,2021,CA
Goodyear,1,13,2021,CA
Goodyear,2,13,2021,CA
Goodyear,3,13,2021,CA
Goodyear,4,13,2021,CA
Goodyear,5,13,2021,CA
Goodyear,6,13,2021,CA
Goodyear,7,13,2021,CA
Goodyear,8,13,2021,CA
Goodyear,9,13,2021,CA
Goodyear,10,13,2021,CA
Goodyear,11,13,2021,CA
Goodyear,12,13,2021,CA
Goodyear,13,13,2021,CA
Guadalcanal,1,20,2022,JH
Guadalcanal,2,20,2022,JH
Guadalcanal,3,20,2022,JH
Guadalcanal,4,20,2022,JH
Guadalcanal,5,20,2022,JH
Guadalcanal,6,20,2022,JH
Guadalcanal,7,20,2022,JH
Guadalcanal,8,20,2022,JH
Guadalcanal,9,20,2022,JH
Guadalcanal,10,20,2022,JH
Guadalcanal,11,20,2022,JH
Guadalcanal,12,20,2022,JH
Guadalcanal,13,20,2022,JH
Guadalcanal,14,20,2022,JH
Guadalcanal,15,20,2022,JH
Guadalcanal,16,20,2022,JH
Guadalcanal,17,20,2022,JH
Guadalcanal,18,20,2022,JH
Guadalcanal,19,20,2022,JH
Guadalcanal,20,20,2022,JH
HARD Marsh,1,10,2021,CA
HARD Marsh,2,10,2021,CA
HARD Marsh,3,10,2021,CA
HARD Marsh,4,10,2021,CA
HARD Marsh,5,10,2021,CA
HARD Marsh,6,10,2021,CA
HARD Marsh,7,10,2021,CA
HARD Marsh,8,10,2021,CA
HARD Marsh,9,10,2021,CA
HARD Marsh,10,10,2021,CA
Haystack,1,20,2022,JH
Haystack,2,20,2022,JH
Haystack,3,20,2022,JH
Haystack,4,20,2022,JH
Haystack,5,20,2022,JH
Haystack,6,20,2022,JH
Haystack,7,20,2022,JH
Haystack,8,20,2022,JH
Haystack,9,20,2022,JH
Haystack,10,20,2022,JH
Haystack,11,20,2022,JH
Haystack,12,20,2022,JH
Haystack,13,20,2022,JH
Haystack,14,20,2022,JH
Haystack,15,20,2022,JH
Haystack,16,20,2022,JH
Haystack,17,20,2022,JH
Haystack,18,20,2022,JH
Haystack,19,20,2022,JH
Haystack,20,20,2022,JH
Hayward Pasture,1,10,2021,CA
Hayward Pasture,2,10,2021,CA
Hayward Pasture,3,10,2021,CA
Hayward Pasture,4,10,2021,CA
Hayward Pasture,5,10,2021,CA
Hayward Pasture,6,10,2021,CA
Hayward Pasture,7,10,2021,CA
Hayward Pasture,8,10,2021,CA
Hayward Pasture,9,10,2021,CA
Hayward Pasture,10,10,2021,CA
Head Albrae,1,20,2022,JH
Head Albrae,2,20,2022,JH
Head Albrae,3,20,2022,JH
Head Albrae,4,20,2022,JH
Head Albrae,5,20,2022,JH
Head Albrae,6,20,2022,JH
Head Albrae,7,20,2022,JH
Head Albrae,8,20,2022,JH
Head Albrae,9,20,2022,JH
Head Albrae,10,20,2022,JH
Head Albrae,11,20,2022,JH
Head Albrae,12,20,2022,JH
Head Albrae,13,20,2022,JH
Head Albrae,14,20,2022,JH
Head Albrae,15,20,2022,JH
Head Albrae,16,20,2022,JH
Head Albrae,17,20,2022,JH
Head Albrae,18,20,2022,JH
Head Albrae,19,20,2022,JH
Head Albrae,20,20,2022,JH
Heerdt,1,9,2021,CA
Heerdt,2,9,2021,CA
Heerdt,3,9,2021,CA
Heerdt,4,9,2021,CA
Heerdt,5,9,2021,CA
Heerdt,6,9,2021,CA
Heerdt,7,9,2021,CA
Heerdt,8,9,2021,CA
Heerdt,9,9,2021,CA
Hercules,1,17,2022,JH
Hercules,2,17,2022,JH
Hercules,3,17,2022,JH
Hercules,4,17,2022,JH
Hercules,5,17,2022,JH
Hercules,6,17,2022,JH
Hercules,7,17,2022,JH
Hercules,8,17,2022,JH
Hercules,9,17,2022,JH
Hercules,10,17,2022,JH
Hercules,11,17,2022,JH
Hercules,12,17,2022,JH
Hercules,13,17,2022,JH
Hercules,14,17,2022,JH
Hercules,15,17,2022,JH
Hercules,16,17,2022,JH
Hercules,17,17,2022,JH
Hill Slough 8,1,20,2021,CA
Hill Slough 8,2,20,2021,CA
Hill Slough 8,3,20,2021,CA
Hill Slough 8,4,20,2021,CA
Hill Slough 8,5,20,2021,CA
Hill Slough 8,6,20,2021,CA
Hill Slough 8,7,20,2021,CA
Hill Slough 8,8,20,2021,CA
Hill Slough 8,9,20,2021,CA
Hill Slough 8,10,20,2021,CA
Hill Slough 8,11,20,2021,CA
Hill Slough 8,12,20,2021,CA
Hill Slough 8,13,20,2021,CA
Hill Slough 8,14,20,2021,CA
Hill Slough 8,15,20,2021,CA
Hill Slough 8,16,20,2021,CA
Hill Slough 8,17,20,2021,CA
Hill Slough 8,18,20,2021,CA
Hill Slough 8,19,20,2021,CA
Hill Slough 8,20,20,2021,CA
Ideal Marsh,1,20,2022,JH
Ideal Marsh,2,20,2022,JH
Ideal Marsh,3,20,2022,JH
Ideal Marsh,4,20,2022,JH
Ideal Marsh,5,20,2022,JH
Ideal Marsh,6,20,2022,JH
Ideal Marsh,7,20,2022,JH
Ideal Marsh,8,20,2022,JH
Ideal Marsh,9,20,2022,JH
Ideal Marsh,10,20,2022,JH
Ideal Marsh,11,20,2022,JH
Ideal Marsh,12,20,2022,JH
Ideal Marsh,13,20,2022,JH
Ideal Marsh,14,20,2022,JH
Ideal Marsh,15,20,2022,JH
Ideal Marsh,16,20,2022,JH
Ideal Marsh,17,20,2022,JH
Ideal Marsh,18,20,2022,JH
Ideal Marsh,19,20,2022,JH
Ideal Marsh,20,20,2022,JH
Inner Bair,1,11,2021,CA
Inner Bair,2,11,2021,CA
Inner Bair,3,11,2021,CA
Inner Bair,4,11,2021,CA
Inner Bair,5,11,2021,CA
Inner Bair,6,11,2021,CA
Inner Bair,7,11,2021,CA
Inner Bair,8,11,2021,CA
Inner Bair,9,11,2021,CA
Inner Bair,10,11,2021,CA
Inner Bair,11,11,2021,CA
Joice Island,1,12,2021,CA
Joice Island,2,12,2021,CA
Joice Island,3,12,2021,CA
Joice Island,4,12,2021,CA
Joice Island,5,12,2021,CA
Joice Island,6,12,2021,CA
Joice Island,7,12,2021,CA
Joice Island,8,12,2021,CA
Joice Island,9,12,2021,CA
Joice Island,10,12,2021,CA
Joice Island,11,12,2021,CA
Joice Island,12,12,2021,CA
Belden's Landing,1,20,2022,JH
Belden's Landing,2,20,2022,JH
Belden's Landing,3,20,2022,JH
Belden's Landing,4,20,2022,JH
Belden's Landing,5,20,2022,JH
Belden's Landing,6,20,2022,JH
Belden's Landing,7,20,2022,JH
Belden's Landing,8,20,2022,JH
Belden's Landing,9,20,2022,JH
Belden's Landing,10,20,2022,JH
Belden's Landing,11,20,2022,JH
Belden's Landing,12,20,2022,JH
Belden's Landing,13,20,2022,JH
Belden's Landing,14,20,2022,JH
Belden's Landing,15,20,2022,JH
Belden's Landing,16,20,2022,JH
Belden's Landing,17,20,2022,JH
Belden's Landing,18,20,2022,JH
Belden's Landing,19,20,2022,JH
Belden's Landing,20,20,2022,JH
Mallard Slough,1,7,2021,CA
Mallard Slough,2,7,2021,CA
Mallard Slough,3,7,2021,CA
Mallard Slough,4,7,2021,CA
Mallard Slough,5,7,2021,CA
Mallard Slough,6,7,2021,CA
Mallard Slough,7,7,2021,CA
Mariner's Point,1,20,2022,JH
Mariner's Point,2,20,2022,JH
Mariner's Point,3,20,2022,JH
Mariner's Point,4,20,2022,JH
Mariner's Point,5,20,2022,JH
Mariner's Point,6,20,2022,JH
Mariner's Point,7,20,2022,JH
